time,open,high,low,close,tick_volume,RSI,EMAF,EMAM,EMAS,Target
2018-01-04 01:00:00,1312.07,1313.6,1310.59,1311.15,12401,37.02553307143705,1314.1509487471951,1314.236842203776,1314.69,1309.24
2018-01-04 02:00:00,1311.13,1311.17,1308.51,1309.24,16542,32.2556699971649,1313.2580489749778,1313.612236928304,1314.1709523809523,1307.16
2018-01-04 03:00:00,1309.24,1309.87,1305.87,1307.16,20141,28.04076625811133,1312.1493127977092,1312.805707312266,1313.5032426303853,1306.98
2018-01-04 04:00:00,1307.16,1308.01,1306.62,1306.98,11750,27.705095401548522,1311.2094377435803,1312.0774938982327,1312.8819814274916,1307.21
2018-01-04 05:00:00,1306.98,1307.34,1306.1,1307.21,7657,28.870804564294467,1310.4822672447476,1311.4690571609535,1312.3417927201115,1307.99
2018-01-04 06:00:00,1307.21,1308.48,1307.19,1307.99,7385,32.80751279745044,1310.0291277457025,1311.0341750158343,1311.9273362705771,1310.13
2018-01-04 07:00:00,1307.99,1310.27,1307.54,1310.13,11934,42.20958420771898,1310.0474681555747,1310.921153138855,1311.756161387665,1310.13
2018-01-04 08:00:00,1310.12,1310.92,1309.1,1310.13,14631,42.20958420771898,1310.0624739454702,1310.822258996498,1311.6012888745543,1310.68
2018-01-04 09:00:00,1310.14,1311.42,1308.18,1310.68,16483,44.50079452805246,1310.17475140993,1310.804476621936,1311.5135470769776,1311.68
2018-01-04 10:00:00,1310.67,1312.12,1310.5,1311.68,17349,48.4799078076674,1310.448432971761,1310.913917044194,1311.529399736313,1313.71
2018-01-04 11:00:00,1311.68,1314.33,1311.5,1313.71,17462,55.43015044969719,1311.0414451587135,1311.26342741367,1311.7370759519022,1313.54
2018-01-04 12:00:00,1313.71,1314.34,1312.25,1313.54,18009,54.76723180744687,1311.4957278571292,1311.5479989869614,1311.9087830041021,1312.93
2018-01-04 13:00:00,1313.54,1313.85,1312.49,1312.93,13936,52.35978782868919,1311.7565046103784,1311.7207491135912,1312.0060417656161,1313.29
2018-01-04 14:00:00,1312.93,1313.49,1311.65,1313.29,16532,53.64815114470108,1312.0353219539459,1311.9169054743925,1312.1283235022242,1314.8
2018-01-04 15:00:00,1313.3,1317.22,1309.21,1314.8,43771,58.671073431875165,1312.5379906895919,1312.2772922900933,1312.382768882965,1314.75
2018-01-04 16:00:00,1314.8,1316.51,1314.22,1314.75,31574,58.44637334227822,1312.940174200575,1312.5863807538317,1312.6082194655398,1319.84
2018-01-04 17:00:00,1314.75,1319.89,1314.41,1319.84,34732,70.68991952606838,1314.1946879822885,1313.4930831596027,1313.2969604688217,1319.19
2018-01-04 18:00:00,1319.84,1320.02,1316.78,1319.19,30747,67.95055337055653,1315.1029265309635,1314.2051977646524,1313.8582023289339,1319.64
2018-01-04 19:00:00,1319.19,1319.87,1318.14,1319.64,19399,68.84605830216519,1315.9278489798792,1314.884548044071,1314.4088497261785,1319.2
2018-01-04 20:00:00,1319.68,1321.01,1318.22,1319.2,18750,66.88811640893286,1316.5227855289918,1315.4239795385622,1314.8651497522567,1324.35
2018-01-04 21:00:00,1319.19,1324.78,1319.16,1324.35,21428,75.59285119229894,1317.9459154328113,1316.539732096242,1315.7684688234704,1321.9
2018-01-04 22:00:00,1324.35,1325.98,1321.76,1321.9,19414,66.66056325034073,1318.6648398995726,1317.2097655842117,1316.3524241736159,1322.57
2018-01-04 23:00:00,1321.9,1324.0,1321.81,1322.57,6879,67.77621954472114,1319.3748690087411,1317.8797948861852,1316.9445742523192,1320.93
2018-01-05 01:00:00,1322.6,1322.99,1320.71,1320.93,8307,62.30797339165632,1319.657620098061,1318.2610705254122,1317.3241386092411,1322.89
2018-01-05 02:00:00,1320.98,1323.45,1320.92,1322.89,11985,65.83734786760267,1320.245325534777,1318.8396867097356,1317.8542206464563,1321.98
2018-01-05 03:00:00,1322.89,1322.99,1321.26,1321.98,11876,62.907150915984175,1320.56072089209,1319.2322258710185,1318.2471520134604,1321.09
2018-01-05 04:00:00,1321.99,1321.99,1320.64,1321.09,11124,60.104041823593036,1320.6569534571645,1319.4644476371411,1318.5178994407497,1321.35
2018-01-05 05:00:00,1321.09,1322.03,1321.07,1321.35,6504,60.65282414794323,1320.7829619194981,1319.7001416824985,1318.7876233035354,1321.91
2018-01-05 06:00:00,1321.34,1321.95,1321.14,1321.91,5585,61.86339752089774,1320.9878779341348,1319.9763739721861,1319.0849925127225,1320.22
2018-01-05 07:00:00,1321.91,1321.92,1319.93,1320.22,9067,56.26600770546323,1320.848263764292,1320.0068272256628,1319.1930884638919,1318.3
2018-01-05 08:00:00,1320.22,1320.27,1317.67,1318.3,16394,50.68388440893459,1320.3849430798753,1319.7934738224549,1319.1080324197117,1318.27
2018-01-05 09:00:00,1318.3,1319.64,1317.9,1318.27,15152,50.59984446484814,1320.0004079744433,1319.6030395946482,1319.0282198083107,1318.03
2018-01-05 10:00:00,1318.27,1318.67,1316.67,1318.03,16255,49.89077413034905,1319.64215197909,1319.4064096453174,1318.9331512551382,1316.71
2018-01-05 11:00:00,1318.03,1318.32,1316.59,1316.71,14118,46.085140608027665,1319.1090334374371,1319.0693584396527,1318.7214225641726,1317.46
2018-01-05 12:00:00,1316.71,1317.78,1316.32,1317.46,12327,48.47764625704303,1318.8092091760848,1318.8681886346963,1318.6012870818704,1317.03
2018-01-05 13:00:00,1317.45,1317.45,1316.38,1317.03,9836,47.19124531779266,1318.4857165986148,1318.6384150553592,1318.451640693121,1317.45
2018-01-05 14:00:00,1317.04,1318.29,1316.17,1317.45,14714,48.61812971747616,1318.2974044897755,1318.4898631734395,1318.356246341395,1320.79
2018-01-05 15:00:00,1317.45,1322.91,1316.54,1320.79,45254,58.23359598311108,1318.7506036734528,1318.7773802767597,1318.5880324041193,1316.19
2018-01-05 16:00:00,1320.79,1320.83,1313.66,1316.19,48239,45.63247791681711,1318.2850393691886,1318.453957742165,1318.3596483656318,1318.91
2018-01-05 17:00:00,1316.19,1320.61,1316.18,1318.91,40511,52.1871955176878,1318.3986685747905,1318.5109630243942,1318.4120628070002,1321.51
2018-01-05 18:00:00,1318.9,1322.13,1318.36,1321.51,26101,57.44207282481844,1318.9643651975557,1318.885842646345,1318.7071044444288,1320.64
2018-01-05 19:00:00,1321.51,1321.58,1320.07,1320.64,18679,55.26449494782566,1319.2690260707275,1319.1051123155519,1318.8911897354355,1320.37
2018-01-05 20:00:00,1320.64,1321.4,1319.49,1320.37,14933,54.57654417989513,1319.4692031487768,1319.263223276108,1319.0320288082512,1320.61
2018-01-05 21:00:00,1320.37,1321.25,1320.32,1320.61,11754,55.10875476468426,1319.67662075809,1319.4315703665945,1319.1823117788938,1320.42
2018-01-05 22:00:00,1320.62,1320.75,1318.43,1320.42,12672,54.566460882684204,1319.8117806202551,1319.5551240707703,1319.3001868475706,1319.44
2018-01-05 23:00:00,1320.41,1320.68,1319.17,1319.44,5598,51.75211231263586,1319.7441841438451,1319.540733561924,1319.3135023858972,1319.56
2018-01-08 01:00:00,1321.15,1321.43,1319.19,1319.56,8007,52.07639218849222,1319.7106961176914,1319.5431418666835,1319.336978349145,1320.63
2018-01-08 02:00:00,1319.53,1320.93,1319.19,1320.63,7049,54.96793302531224,1319.8778422781113,1319.678999133348,1319.4601232682742,1320.86
2018-01-08 03:00:00,1320.63,1322.12,1320.02,1320.86,12159,55.58511838465274,1320.0564164093637,1319.8266242416796,1319.593444861772,1320.25
2018-01-08 04:00:00,1320.85,1321.76,1319.69,1320.25,10329,53.50146890434581,1320.091613425843,1319.8795462114697,1319.6559739225556,1320.33
2018-01-08 05:00:00,1320.25,1321.0,1319.85,1320.33,5443,53.74510810877216,1320.1349564393258,1319.9358529350359,1319.7201668823122,1320.22
2018-01-08 06:00:00,1320.34,1320.59,1319.55,1320.22,4920,53.333415323523326,1320.1504189049028,1319.9713713181563,1319.767770036378,1318.01
2018-01-08 07:00:00,1320.22,1320.38,1317.41,1318.01,11361,45.784036680806565,1319.7612518312842,1319.726199903387,1319.6003633662465,1318.87
2018-01-08 08:00:00,1318.01,1318.98,1317.5,1318.87,10529,48.80541586622427,1319.599206043778,1319.6191749154636,1319.5308049504133,1315.95
2018-01-08 09:00:00,1318.87,1318.9,1315.77,1315.95,15116,40.5787423748687,1318.9357140358181,1319.1605280510307,1319.1897759075168,1316.38
